"","ID","X","CRUISE","TOW_NO","TOW_TYPE_ID","TOW_DATE","YEAR","STRATA_ID","MIDPOINT_LONG","MIDPOINT_LAT","GEAR_TYPE_ID","GEAR_TYPE","DEPTH_M","BOTTOM_TEMP"
"2074","BI2011.116",2170,"BI2011",116,1,"2011-06-28",2011,24,-66.64405833,43.85889167,3,"Digby gear",-100.6655579,7.8
"2075","BI2011.117",2171,"BI2011",117,1,"2011-06-28",2011,24,-66.62200833,43.88428333,3,"Digby gear",-85.54660797,7.7
"2076","BI2011.118",2172,"BI2011",118,1,"2011-06-28",2011,24,-66.66609167,43.89668333,3,"Digby gear",-115.8992233,7.9
"2077","BI2011.119",2173,"BI2011",119,1,"2011-06-28",2011,24,-66.64509167,43.90819167,3,"Digby gear",-122.5452271,7.8
"2078","BI2011.12",2066,"BI2011",12,5,"2011-06-20",2011,22,-66.27920833,44.227175,3,"Digby gear",-34.7307663,8.6
"2079","BI2011.120",2174,"BI2011",120,1,"2011-06-28",2011,24,-66.61111667,43.93265,3,"Digby gear",-82.37211609,7.9
"2080","BI2011.121",2175,"BI2011",121,1,"2011-06-28",2011,23,-66.52545833,44.01728333,3,"Digby gear",-95.58854675,8.2
"2081","BI2011.122",2176,"BI2011",122,1,"2011-06-28",2011,23,-66.507825,44.01325833,3,"Digby gear",-94.06993866,8.2
"2082","BI2011.123",2177,"BI2011",123,5,"2011-06-28",2011,23,-66.50419167,44.00494167,3,"Digby gear",-89.93829346,8.2
"2083","BI2011.124",2178,"BI2011",124,1,"2011-06-28",2011,24,-66.49798333,43.98868333,3,"Digby gear",-80.74182892,8.3
"2084","BI2011.125",2179,"BI2011",125,1,"2011-06-28",2011,24,-66.50863333,43.99053333,3,"Digby gear",-99.35574341,8.2
"2085","BI2011.126",2180,"BI2011",126,1,"2011-06-28",2011,24,-66.726775,43.81876667,3,"Digby gear",-118.2147217,7.8
"2086","BI2011.127",2181,"BI2011",127,5,"2011-06-28",2011,24,-66.73465,43.80416667,3,"Digby gear",-113.1102829,7.7
"2087","BI2011.128",2182,"BI2011",128,1,"2011-06-28",2011,24,-66.75311667,43.76418333,3,"Digby gear",-112.7283096,7.9
"2088","BI2011.129",2183,"BI2011",129,5,"2011-06-28",2011,24,-66.7335,43.763,3,"Digby gear",-110.2837677,7.8
"2089","BI2011.13",2067,"BI2011",13,1,"2011-06-20",2011,22,-66.27819167,44.17531667,3,"Digby gear",-34.74798965,8.4
"2090","BI2011.130",2184,"BI2011",130,1,"2011-06-28",2011,24,-66.777175,43.69715,3,"Digby gear",-111.2354813,7.8
"2091","BI2011.131",2185,"BI2011",131,1,"2011-06-28",2011,24,-66.7218,43.68461667,3,"Digby gear",-126.2160339,7.7
"2092","BI2011.132",2186,"BI2011",132,1,"2011-06-28",2011,24,-66.69771667,43.69980833,3,"Digby gear",-96.22128296,7.7
"2093","BI2011.133",2187,"BI2011",133,1,"2011-06-28",2011,24,-66.62994167,43.68611667,3,"Digby gear",-132.3005524,7.6
"2094","BI2011.134",2188,"BI2011",134,5,"2011-06-28",2011,24,-66.64395833,43.69464167,3,"Digby gear",-102.9941101,7.6
"2095","BI2011.135",2189,"BI2011",135,1,"2011-06-28",2011,24,-66.65146667,43.70205,3,"Digby gear",-98.84496307,7.6
"2096","BI2011.136",2190,"BI2011",136,1,"2011-06-28",2011,24,-66.65829167,43.70975,3,"Digby gear",-111.1945572,7.6
"2097","BI2011.137",2191,"BI2011",137,5,"2011-06-29",2011,24,-66.29175833,43.75215,3,"Digby gear",-57.36079025,8.6
"2098","BI2011.138",2192,"BI2011",138,1,"2011-06-29",2011,24,-66.296875,43.79568333,3,"Digby gear",-56.51274109,8.8
